_RAJ2000;_DEJ2000;Name;GLON;GLAT;z;Mbh;e_Mbh;Dist;SimbadName;NED;_RA.icrs;_DE.icrs
327.9121197;-37.5041911;ESO 343- G 034         ;005.91053;-51.01518; 0.01540; 147.532;  73.766; 63.2;ESO 343- G 034         ;NED;327.91212;-37.50419
300.6110061;-34.9004383;ESO 399- G 018         ;006.09531;-28.91016; 0.02042; 178.625;  89.312; 83.9;ESO 399- G 018         ;NED;300.61101;-34.90044
307.1408056;-36.0271410;IC 5011                ;006.16701;-34.34510; 0.00775; 139.364;  69.682; 31.8;IC 5011                ;NED;307.14081;-36.02714
213.5557998;+15.6223255;UGC 09110              ;006.23896;+67.60691; 0.01555;  76.951;  38.476; 63.9;UGC 09110              ;NED;213.55580;+15.62233
296.1925524;-33.5345542;ESO 398- G 027         ;006.45340;-25.02307; 0.02020; 136.020;  68.010; 82.9;ESO 398- G 027         ;NED;296.19255;-33.53455
334.6937555;-36.8016367;IC 5186                ;006.48864;-56.45387; 0.01640; 264.083; 132.041; 67.4;IC 5186                ;NED;334.69376;-36.80164
299.4121822;-33.8246693;ESO 399- G 007         ;006.98401;-27.67557; 0.02160; 152.818;  76.409; 88.7;ESO 399- G 007         ;NED;299.41218;-33.82467
320.6306892;-36.6815986;ESO 402- G 026         ;007.04310;-45.19943; 0.00903;  98.776;  49.388; 37.1;ESO 402- G 026         ;NED;320.63069;-36.68160
292.6108072;-31.8773857;ESO 460- G 009         ;007.14059;-21.64233; 0.01979; 121.368;  60.684; 81.3;ESO 460- G 009         ;NED;292.61081;-31.87739
194.5526661;+26.3968154;NGC 4849               ;007.49660;+88.32057; 0.01963; 244.809; 122.405; 80.6;NGC 4849               ;NED;194.55267;+26.39682
217.2425866;+13.8617760;UGC 09288              ;007.57000;+63.66855; 0.01762; 167.090;  83.545; 72.4;UGC 09288              ;NED;217.24259;+13.86178
307.5636037;-34.8120348;ESO 400- G 033         ;007.69231;-34.45096; 0.01954; 171.990;  85.995; 80.2;ESO 400- G 033         ;NED;307.56360;-34.81203
332.5415012;-36.0886609;IC 5169                ;007.98036;-54.78163; 0.01037;  85.208;  42.604; 42.6;IC 5169                ;NED;332.54150;-36.08866
325.1061561;-36.1036012;MCG -06-47-010         ;008.10255;-48.77557; 0.01913; 124.743;  62.372; 78.6;MCG -06-47-010         ;NED;325.10616;-36.10360
306.4494344;-34.1935342;ESO 400- G 020         ;008.19596;-33.42578; 0.01301;  78.429;  39.214; 53.4;ESO 400- G 020         ;NED;306.44943;-34.19353
299.4998045;-32.6633887;ESO 399- G 010         ;008.26667;-27.42909; 0.01886; 404.871; 202.436; 77.5;ESO 399- G 010         ;NED;299.49980;-32.66339
299.3252668;-32.4780251;ESO 399- G 006         ;008.42087;-27.23614; 0.01912; 220.602; 110.301; 78.5;ESO 399- G 006         ;NED;299.32527;-32.47803
299.0326852;-32.3346358;ESO 461- G 014         ;008.49719;-26.95872; 0.02021; 168.830;  84.415; 83.0;ESO 461- G 014         ;NED;299.03269;-32.33464
299.1045217;-32.1529483;ESO 461- G 015         ;008.71200;-26.96538; 0.01798; 132.793;  66.396; 73.8;ESO 461- G 015         ;NED;299.10452;-32.15295
235.6428483;+02.0142797;UGC 09980              ;008.86537;+41.97528; 0.01190;  53.498;  26.749; 48.9;UGC 09980              ;NED;235.64285;+02.01428
311.0791085;-34.3824834;MCG -06-45-010         ;008.87413;-37.21507; 0.01956; 130.015;  65.007; 80.3;MCG -06-45-010         ;NED;311.07911;-34.38248
198.7646836;+24.6188250;IC 0860                ;008.96186;+84.12501; 0.01116;  46.540;  23.270; 45.8;IC 0860                ;NED;198.76468;+24.61882
300.0145628;-32.0848372;ESO 461- G 029         ;009.02991;-27.68575; 0.01984; 186.183;  93.091; 81.5;ESO 461- G 029         ;NED;300.01456;-32.08484
299.5293176;-31.8713082;ESO 461- G 024         ;009.13031;-27.23069; 0.01938; 207.186; 103.593; 79.6;ESO 461- G 024         ;NED;299.52932;-31.87131
212.4887627;+17.5454310;NGC 5490               ;009.14157;+69.50967; 0.01619; 540.342; 270.171; 66.5;NGC 5490               ;NED;212.48876;+17.54543
299.4543105;-31.8107195;NGC 6841               ;009.17524;-27.15237; 0.01949; 680.787; 340.394; 80.0;NGC 6841               ;NED;299.45431;-31.81072
300.0808158;-31.9003084;ESO 461- G 031         ;009.24773;-27.68815; 0.02025; 214.068; 107.034; 83.2;ESO 461- G 031         ;NED;300.08082;-31.90031
292.0707812;-29.5290151;ESO 460- G 004         ;009.33783;-20.40772; 0.02432; 574.145; 287.073; 99.9;ESO 460- G 004         ;NED;292.07078;-29.52901
299.1824786;-31.4753318;ESO 461- G 019         ;009.46119;-26.83438; 0.01863; 170.674;  85.337; 76.5;ESO 461- G 019         ;NED;299.18248;-31.47533
212.8243262;+17.5063466;UGC 09078              ;009.51724;+69.21575; 0.01581;  84.946;  42.473; 64.9;UGC 09078              ;NED;212.82433;+17.50635
212.4961549;+17.6959844;IC 0982                ;009.52065;+69.58155; 0.01821; 148.919;  74.460; 74.8;IC 0982                ;NED;212.49615;+17.69598
238.5797387;+00.5430453;NGC 6010               ;009.52515;+38.72990; 0.00630;  68.266;  34.133; 25.9;NGC 6010               ;NED;238.57974;+00.54305
346.1726704;-34.0578641;ESO 407- G 002         ;009.54756;-66.08542; 0.00566;  13.441;   6.721; 23.3;ESO 407- G 002         ;NED;346.17267;-34.05786
297.7371587;-31.0035245;ESO 461- G 004         ;009.55564;-25.51435; 0.02234; 166.891;  83.445; 91.8;ESO 461- G 004         ;NED;297.73716;-31.00352
297.9893323;-30.8569714;MCG -05-47-002         ;009.78306;-25.67622; 0.01774; 120.753;  60.377; 72.8;MCG -05-47-002         ;NED;297.98933;-30.85697
297.7704686;-30.7579680;ESO 461- G 005         ;009.82446;-25.46707; 0.02003; 304.595; 152.298; 82.3;ESO 461- G 005         ;NED;297.77047;-30.75797
297.9960020;-30.8162488;MCG -05-47-003         ;009.82805;-25.66937; 0.01956; 244.789; 122.395; 80.3;MCG -05-47-003         ;NED;297.99600;-30.81625
298.0364234;-30.8257800;ESO 461- G 007         ;009.82961;-25.70534; 0.02006; 440.879; 220.440; 82.4;ESO 461- G 007         ;NED;298.03642;-30.82578
327.0811734;-34.9513534;NGC 7130               ;009.94325;-50.35231; 0.01615; 351.711; 175.856; 66.3;NGC 7130               ;NED;327.08117;-34.95135
330.8624301;-34.9418841;IC 5157                ;010.00877;-53.45132; 0.01482; 318.775; 159.387; 60.9;IC 5157                ;NED;330.86243;-34.94188
236.5681406;+02.4154652;NGC 5990               ;010.01889;+41.45145; 0.01281; 233.930; 116.965; 52.6;NGC 5990               ;NED;236.56814;+02.41547
326.8553740;-34.8837126;IC 5131                ;010.04025;-50.16520; 0.00877;  91.388;  45.694; 36.0;IC 5131                ;NED;326.85537;-34.88371
319.9917387;-34.4914023;ESO 402- G 022         ;010.06557;-44.50898; 0.01732; 243.856; 121.928; 71.1;ESO 402- G 022         ;NED;319.99174;-34.49140
327.4416273;-34.8763229;NGC 7135               ;010.07395;-50.64571; 0.00882; 144.220;  72.110; 36.2;NGC 7135               ;NED;327.44163;-34.87632
321.6850768;-34.4990976;ESO 402- G 030         ;010.23916;-45.89922; 0.00902;  34.120;  17.060; 37.0;ESO 402- G 030         ;NED;321.68508;-34.49910
328.6613834;-34.6693785;MCG -06-48-004         ;010.44048;-51.64261; 0.01542; 128.525;  64.262; 63.3;MCG -06-48-004         ;NED;328.66138;-34.66938
325.4937891;-34.4459370;NGC 7109               ;010.64114;-49.02761; 0.01745; 134.781;  67.390; 71.7;NGC 7109               ;NED;325.49379;-34.44594
307.5331502;-32.2106485;ESO 462- G 026         ;010.75881;-33.87617; 0.01902; 116.184;  58.092; 78.1;ESO 462- G 026         ;NED;307.53315;-32.21065
344.5075403;-33.7422809;IC 5271                ;010.79267;-64.76567; 0.00573;  97.004;  48.502; 23.5;IC 5271                ;NED;344.50754;-33.74228
295.4890739;-29.0548565;MCG -05-46-004         ;010.90704;-23.05110; 0.00654;  17.077;   8.538; 26.9;MCG -05-46-004         ;NED;295.48907;-29.05486
310.3129010;-32.4864527;NGC 6947               ;011.04630;-36.22886; 0.01865; 225.157; 112.578; 76.6;NGC 6947               ;NED;310.31290;-32.48645
325.5505408;-34.1622665;NGC 7110               ;011.07723;-49.05851; 0.01768; 130.348;  65.174; 72.6;NGC 7110               ;NED;325.55054;-34.16227
212.5322946;+18.3644630;IC 0984                ;011.23885;+69.88800; 0.01704; 158.848;  79.424; 70.0;IC 0984                ;NED;212.53229;+18.36446
301.7799919;-30.3987475;ESO 461- G 042         ;011.34577;-28.66225; 0.01914; 111.866;  55.933; 78.6;ESO 461- G 042         ;NED;301.77999;-30.39875
317.0312880;-33.2428166;ESO 402-IG 010         ;011.35269;-41.91647; 0.01818; 382.282; 191.141; 74.6;ESO 402-IG 010         ;NED;317.03129;-33.24282
252.2564467;-06.7910022;2MASX J16490157-0647279;011.48532;+23.32732; 0.02108; 225.469; 112.735; 86.6;2MASX J16490157-0647279;NED;252.25645;-06.79100
295.7191507;-28.5019938;ESO 460- G 025         ;011.54657;-23.05800; 0.01971; 253.126; 126.563; 81.0;ESO 460- G 025         ;NED;295.71915;-28.50199
