_RAJ2000;_DEJ2000;FFF98;xpos;ypos;MType;n;F814W;Vzmag;F606W-F814W;(B-V)z;rc;M;_RA;_DE
209.9244933;+62.5506067; 514; -58.3; 119.2;S0  ;3;20.28;21.17; 1.130; 0.797; 0.39;M;209.92449;+62.55061
209.9400997;+62.5520542; 519; -32.4; 124.4;?   ;2;20.23;21.06; 0.788; 0.516; 1.38;M;209.94010;+62.55205
209.8840553;+62.5520075; 522;-125.4; 124.3;S   ;1;20.39;21.26; 1.056; 0.736; 2.56;M;209.88406;+62.55201
209.9822242;+62.5526647; 523;  37.5; 126.6;S0  ;3;19.30;20.23; 1.262; 0.905; 1.16;M;209.98222;+62.55266
209.8766419;+62.5523364; 525;-137.7; 125.5;S0  ;3;19.57;20.47; 1.199; 0.853; 0.63;M;209.87664;+62.55234
209.9488972;+62.5544164; 528; -17.8; 132.9;Irr ;1;20.23;21.04; 0.776; 0.506; 4.41;M;209.94890;+62.55442
209.9181594;+62.5553550; 531; -68.8; 136.3;E   ;3;18.28;19.19; 1.240; 0.887; 1.34;M;209.91816;+62.55535
209.8844658;+62.5564797; 534;-124.7; 140.4;E   ;4;19.83;20.74; 1.242; 0.888; 0.50;M;209.88447;+62.55648
209.9698717;+62.5577497; 536;  17.0; 144.9;E   ;4;18.48;19.39; 1.224; 0.874; 1.20;M;209.96987;+62.55775
209.9787319;+62.5578319; 537;  31.7; 145.2;E   ;3;19.73;20.63; 1.239; 0.886; 0.41;M;209.97873;+62.55783
210.0251444;+62.5582625; 539; 108.7; 146.8;S0  ;3;20.53;21.42; 1.163; 0.824; 0.22;M;210.02514;+62.55826
210.0007933;+62.5583550; 540;  68.3; 147.1;S0  ;3;19.95;20.86; 1.241; 0.888; 0.39;M;210.00079;+62.55835
209.9570331;+62.5591667; 542;  -4.3; 150.0;E   ;4;19.27;20.18; 1.234; 0.882; 0.53;M;209.95703;+62.55917
209.8416608;+62.5595058; 544;-195.7; 151.4;S0  ;2;19.52;20.42; 1.226; 0.875; 0.79;M;209.84166;+62.55951
210.0201478;+62.5612092; 546; 100.4; 157.4;E   ;3;20.16;21.04; 1.136; 0.802; 0.31;M;210.02015;+62.56121
209.9883200;+62.5622469; 549;  47.6; 161.1;S   ;3;19.75;20.61; 1.085; 0.760; 2.05;M;209.98832;+62.56225
209.8690192;+62.5620539; 553;-150.3; 160.5;Irr ;1;20.74;21.60; 1.045; 0.727; 1.22;M;209.86902;+62.56205
209.8075308;+62.5619453; 554;-252.3; 160.3;E   ;4;19.04;19.94; 1.253; 0.897; 0.59;M;209.80753;+62.56195
210.0095414;+62.5632133; 555;  82.8; 164.6;S0  ;3;20.57;21.47; 1.218; 0.869; 0.41;M;210.00954;+62.56321
209.9727078;+62.5648606; 560;  21.7; 170.5;E/S0;4;19.51;20.41; 1.192; 0.847; 0.73;M;209.97271;+62.56486
